BayesianSearch: New best config found. Config 0: {'alphas0': 82.14069508301314, 'alphas1': 18.69380912750045, 'alphas2': 81.67594684492835, 'alphas3': 18.354449123581766, 'alphas4': 14.211045966767713, 'alphas5': 43.382051919045615, 'alphas6': 9.182715995119063, 'alphas7': 38.648164606366606, 'alphas8': 85.78866593940012, 'alphas9': 29.040936571147284, 'alphas10': 30.445724339346143, 'alphas11': 21.421678397038217, 'alphas12': 78.610524393808, 'alphas13': 24.322920527726215, 'alphas14': 44.34441688903964} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10165558678917466, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 11 is suboptimal. Config: {'alphas0': 20.156964750597524, 'alphas1': 82.4498057968201, 'alphas2': 19.017758451758766, 'alphas3': 15.492065767988986, 'alphas4': 88.01309263214715, 'alphas5': 26.633011457722727, 'alphas6': 44.9025576247135, 'alphas7': 80.37029813572015, 'alphas8': 64.53969442816114, 'alphas9': 1.9355476339164794, 'alphas10': 66.40102108185023, 'alphas11': 72.04379553946832, 'alphas12': 54.76012743157085, 'alphas13': 41.1424735790377, 'alphas14': 21.830449934694368} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11290068407704719, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 12 is suboptimal. Config: {'alphas0': 88.48039246098112, 'alphas1': 99.34748961262018, 'alphas2': 9.372458663043473, 'alphas3': 43.874091230344845, 'alphas4': 96.28438693650638, 'alphas5': 17.891453174035846, 'alphas6': 99.24325817331325, 'alphas7': 28.733767481011423, 'alphas8': 64.80580584456361, 'alphas9': 98.0963708885428, 'alphas10': 39.91020667695738, 'alphas11': 90.03177735146906, 'alphas12': 11.416035074878508, 'alphas13': 72.29928240928155, 'alphas14': 33.34832061345954} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11118433951491041, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 13 is suboptimal. Config: {'alphas0': 60.465059570240165, 'alphas1': 69.74771590101169, 'alphas2': 58.68435537685722, 'alphas3': 86.67923290448832, 'alphas4': 10.72378828232267, 'alphas5': 0.9142755017434225, 'alphas6': 94.63677371728836, 'alphas7': 70.85338929163709, 'alphas8': 42.218543368751426, 'alphas9': 50.68100051799662, 'alphas10': 40.21517129695999, 'alphas11': 36.83038882699902, 'alphas12': 95.76605786207824, 'alphas13': 6.712770705925876, 'alphas14': 83.62809386130382} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.09805139920615882, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 14 is suboptimal. Config: {'alphas0': 93.35571409569398, 'alphas1': 31.31226638037447, 'alphas2': 3.909296831177057, 'alphas3': 7.2350169275883465, 'alphas4': 86.88317487405807, 'alphas5': 18.981657598798414, 'alphas6': 96.36975682216956, 'alphas7': 59.830871196219974, 'alphas8': 22.38794065543494, 'alphas9': 7.727747304576184, 'alphas10': 36.79366108510613, 'alphas11': 87.54061545791285, 'alphas12': 22.454384070170825, 'alphas13': 22.69507151809486, 'alphas14': 50.62575418503269} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11194291473782983, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 15 is suboptimal. Config: {'alphas0': 80.75598614347548, 'alphas1': 7.482359572864973, 'alphas2': 93.08907744015228, 'alphas3': 41.14360255750804, 'alphas4': 52.666110309970016, 'alphas5': 17.569535225922632, 'alphas6': 91.08639567890971, 'alphas7': 58.82576035989799, 'alphas8': 37.66878995648438, 'alphas9': 37.27555218667196, 'alphas10': 90.8686044937116, 'alphas11': 81.98585002668284, 'alphas12': 49.52422178698587, 'alphas13': 7.5062534165022194, 'alphas14': 93.88397181988192} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1075147694813492, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config 16: {'alphas0': 47.93846757052188, 'alphas1': 2.6718601375149595, 'alphas2': 23.923508682907883, 'alphas3': 42.49458575044899, 'alphas4': 88.16724991494755, 'alphas5': 97.40584931595176, 'alphas6': 3.750603843394885, 'alphas7': 14.556997597970836, 'alphas8': 47.01609776038278, 'alphas9': 30.800106927348608, 'alphas10': 72.78518327005185, 'alphas11': 31.937662169466268, 'alphas12': 45.48716413934517, 'alphas13': 87.3968725623067, 'alphas14': 44.926644914269566} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11427925972572388, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 17 is suboptimal. Config: {'alphas0': 94.30771004722419, 'alphas1': 69.57058711021041, 'alphas2': 25.109507243750578, 'alphas3': 33.24046690356584, 'alphas4': 10.846860688916019, 'alphas5': 1.6185179111091412, 'alphas6': 17.400793459811705, 'alphas7': 26.656866275547202, 'alphas8': 49.09734687225934, 'alphas9': 11.81753707352177, 'alphas10': 10.242633933804916, 'alphas11': 92.37311145644324, 'alphas12': 39.12235249174015, 'alphas13': 16.633487324958644, 'alphas14': 32.64361280396964} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.1005487304035381, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 18 is suboptimal. Config: {'alphas0': 75.2887066689298, 'alphas1': 27.550923521578547, 'alphas2': 32.05058164523793, 'alphas3': 67.9287966084936, 'alphas4': 19.221769059492782, 'alphas5': 20.161419662491337, 'alphas6': 94.4298388661799, 'alphas7': 83.30394669533051, 'alphas8': 78.86454649521706, 'alphas9': 79.28243089228528, 'alphas10': 49.40751382380909, 'alphas11': 86.64888889026994, 'alphas12': 19.70132502326663, 'alphas13': 87.3824457042764, 'alphas14': 56.308494584889615} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11275498507583197, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 19 is suboptimal. Config: {'alphas0': 18.986573845014814, 'alphas1': 3.0969329960382384, 'alphas2': 48.75022744989168, 'alphas3': 78.012820399504, 'alphas4': 57.944734878523306, 'alphas5': 3.652080171623918, 'alphas6': 98.18880153461087, 'alphas7': 37.29978149693908, 'alphas8': 39.36807046407906, 'alphas9': 35.10960760656318, 'alphas10': 13.454396879071432, 'alphas11': 83.26507608293213, 'alphas12': 1.604328363865382, 'alphas13': 74.31573172967276, 'alphas14': 93.4272973654215} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11373670613794126, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 20 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 100.0, 'alphas5': 100.0, 'alphas6': 100.0, 'alphas7': 100.0, 'alphas8': 0.0, 'alphas9': 100.0, 'alphas10': 100.0, 'alphas11': 100.0, 'alphas12': 100.0, 'alphas13': 73.88469865572598, 'alphas14': 0.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10705134389642286, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 21 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 0.0, 'alphas5': 100.0, 'alphas6': 0.0, 'alphas7': 100.0, 'alphas8': 0.0, 'alphas9': 100.0, 'alphas10': 0.0, 'alphas11': 100.0, 'alphas12': 0.0, 'alphas13': 100.0, 'alphas14': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10710133024607482, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 22 is suboptimal. Config: {'alphas0': 0.0, 'alphas1': 0.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 0.0, 'alphas5': 100.0, 'alphas6': 100.0, 'alphas7': 100.0, 'alphas8': 100.0, 'alphas9': 0.0, 'alphas10': 100.0, 'alphas11': 0.0, 'alphas12': 0.0, 'alphas13': 100.0, 'alphas14': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10742864296107645, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 23 is suboptimal. Config: {'alphas0': 100.0, 'alphas1': 100.0, 'alphas2': 0.0, 'alphas3': 100.0, 'alphas4': 100.0, 'alphas5': 100.0, 'alphas6': 100.0, 'alphas7': 0.0, 'alphas8': 0.0, 'alphas9': 100.0, 'alphas10': 0.0, 'alphas11': 100.0, 'alphas12': 100.0, 'alphas13': 100.0, 'alphas14': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.11122723505499736, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config 24 is suboptimal. Config: {'alphas0': 100.0, 'alphas1': 100.0, 'alphas2': 0.0, 'alphas3': 0.0, 'alphas4': 100.0, 'alphas5': 100.0, 'alphas6': 100.0, 'alphas7': 0.0, 'alphas8': 100.0, 'alphas9': 0.0, 'alphas10': 100.0, 'alphas11': 0.0, 'alphas12': 0.0, 'alphas13': 0.0, 'alphas14': 100.0} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.10494451380184394, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
